image,tp,fp,fn,predictions,ground_truth,visualization
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_53_png.rf.9344e10c37608f3c5d3fd377cf0c01cf.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_53_png.rf.9344e10c37608f3c5d3fd377cf0c01cf.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_54_png.rf.45b5a6632743597a3bbbf270febecfb4.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_54_png.rf.45b5a6632743597a3bbbf270febecfb4.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_59_png.rf.19ac39f2b85c976fb9442a7e55787b27.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_59_png.rf.19ac39f2b85c976fb9442a7e55787b27.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_65_png.rf.9c85033008001435da1da5b6cafda807.jpg,0,1,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_65_png.rf.9c85033008001435da1da5b6cafda807.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_66_png.rf.20792a03a22b3cb48ff426cd19bca4c6.jpg,0,1,1,1,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_66_png.rf.20792a03a22b3cb48ff426cd19bca4c6.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_72_png.rf.2c59c79ca8ae178ee67a65a5af799e73.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_72_png.rf.2c59c79ca8ae178ee67a65a5af799e73.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_74_png.rf.cd85e4a88d63c691247276bce2038f1e.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_74_png.rf.cd85e4a88d63c691247276bce2038f1e.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_77_png.rf.3ce96de8b8e620e1519502742e1d7df3.jpg,0,2,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_77_png.rf.3ce96de8b8e620e1519502742e1d7df3.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_80_png.rf.726fa5c798fadf1976b9255161a7b6f8.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_80_png.rf.726fa5c798fadf1976b9255161a7b6f8.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_83_png.rf.13bba0ea422b37bab2e36a2a2f89746b.jpg,2,1,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_83_png.rf.13bba0ea422b37bab2e36a2a2f89746b.jpg
